course_id,assignment_type,title,description,max_score,due_date
Медицина 125,другое,Другое по Основы,Подробное описание другое работы по курсу Основы медицинских знаний,37,2025-07-10
Экономика 934,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,48,2025-07-03
Экономика 934,практическая,Практическая по Принципы,Подробное описание практическая работы по курсу Принципы экономики,100,2025-07-03
Экономика 934,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,36,2025-07-17
Психология 633,другое,Другое по Введение,Подробное описание другое работы по курсу Введение в психологию,24,2025-06-12
Психология 633,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,22,2025-06-26
Психология 633,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-07-10
История 288,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая история,100,2025-07-17
История 288,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая история,41,2025-06-26
История 288,другое,Другое по Мировая,Подробное описание другое работы по курсу Мировая история,23,2025-07-17
Математический анализ 817,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,23,2025-06-12
Математический анализ 817,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы математического анализа,100,2025-06-26
Математический анализ 817,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,31,2025-07-17
Биология 591,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы биологии,100,2025-07-10
Биология 591,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы биологии,32,2025-06-05
Биология 591,другое,Другое по Основы,Подробное описание другое работы по курсу Основы биологии,50,2025-07-17
Медицина 821,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы медицинских знаний,47,2025-07-10
Медицина 821,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы медицинских знаний,100,2025-07-03
Медицина 821,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,36,2025-06-12
Программирование 873,другое,Другое по Базовые,Подробное описание другое работы по курсу Базовые концепции программирования,31,2025-06-05
Программирование 873,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-06-12
Программирование 873,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,42,2025-07-10
Химия 227,доклад,Доклад по Общая,Подробное описание доклад работы по курсу Общая химия,22,2025-07-10
Химия 227,доклад,Доклад по Общая,Подробное описание доклад работы по курсу Общая химия,48,2025-06-12
Химия 227,практическая,Практическая по Общая,Подробное описание практическая работы по курсу Общая химия,100,2025-06-26
Литература 636,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-06-19
Литература 636,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая литература,49,2025-07-03
Литература 636,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-06-26
Экономика 730,лабораторная,Лабораторная по Принципы,Подробное описание лабораторная работы по курсу Принципы экономики,100,2025-06-26
Экономика 730,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,39,2025-07-10
Экономика 730,лабораторная,Лабораторная по Принципы,Подробное описание лабораторная работы по курсу Принципы экономики,100,2025-06-05
Психология 667,доклад,Доклад по Введение,Подробное описание доклад работы по курсу Введение в психологию,46,2025-06-26
Психология 667,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-06-12
Психология 667,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-07-03
Экономика 900,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,48,2025-06-12
Экономика 900,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,41,2025-07-17
Экономика 900,реферат,Реферат по Принципы,Подробное описание реферат работы по курсу Принципы экономики,30,2025-07-17
Химия 837,другое,Другое по Общая,Подробное описание другое работы по курсу Общая химия,33,2025-06-12
Химия 837,доклад,Доклад по Общая,Подробное описание доклад работы по курсу Общая химия,34,2025-06-12
Химия 837,реферат,Реферат по Общая,Подробное описание реферат работы по курсу Общая химия,30,2025-06-19
Психология 735,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,33,2025-06-19
Психология 735,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-07-03
Психология 735,другое,Другое по Введение,Подробное описание другое работы по курсу Введение в психологию,40,2025-05-29
Биология 194,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы биологии,100,2025-06-26
Биология 194,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы биологии,100,2025-06-05
Биология 194,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы биологии,23,2025-07-17
Психология 726,доклад,Доклад по Введение,Подробное описание доклад работы по курсу Введение в психологию,28,2025-07-17
Психология 726,другое,Другое по Введение,Подробное описание другое работы по курсу Введение в психологию,23,2025-06-05
Психология 726,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-06-26
Экономика 609,лабораторная,Лабораторная по Принципы,Подробное описание лабораторная работы по курсу Принципы экономики,100,2025-06-12
Экономика 609,реферат,Реферат по Принципы,Подробное описание реферат работы по курсу Принципы экономики,21,2025-07-10
Экономика 609,практическая,Практическая по Принципы,Подробное описание практическая работы по курсу Принципы экономики,100,2025-06-12
Химия 250,другое,Другое по Общая,Подробное описание другое работы по курсу Общая химия,36,2025-06-12
Химия 250,лабораторная,Лабораторная по Общая,Подробное описание лабораторная работы по курсу Общая химия,100,2025-07-03
Химия 250,доклад,Доклад по Общая,Подробное описание доклад работы по курсу Общая химия,32,2025-06-19
Психология 618,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-07-10
Психология 618,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-05-29
Психология 618,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,23,2025-06-19
Программирование 428,практическая,Практическая по Базовые,Подробное описание практическая работы по курсу Базовые концепции программирования,100,2025-06-05
Программирование 428,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-05-29
Программирование 428,практическая,Практическая по Базовые,Подробное описание практическая работы по курсу Базовые концепции программирования,100,2025-05-29
Медицина 840,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,24,2025-07-10
Медицина 840,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,50,2025-06-26
Медицина 840,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,48,2025-06-19
Медицина 831,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы медицинских знаний,100,2025-07-10
Медицина 831,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы медицинских знаний,100,2025-05-29
Медицина 831,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,20,2025-07-17
Программирование 539,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,37,2025-06-19
Программирование 539,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,33,2025-07-17
Программирование 539,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,50,2025-05-29
Экономика 441,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,49,2025-05-29
Экономика 441,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,31,2025-06-12
Экономика 441,лабораторная,Лабораторная по Принципы,Подробное описание лабораторная работы по курсу Принципы экономики,100,2025-06-05
Экономика 368,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,36,2025-07-10
Экономика 368,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,46,2025-06-12
Экономика 368,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,45,2025-07-10
Математический анализ 855,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,40,2025-07-03
Математический анализ 855,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы математического анализа,100,2025-07-03
Математический анализ 855,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы математического анализа,100,2025-06-19
Литература 426,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая литература,38,2025-07-03
Литература 426,другое,Другое по Мировая,Подробное описание другое работы по курсу Мировая литература,23,2025-06-26
Литература 426,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая литература,49,2025-06-05
Математический анализ 326,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы математического анализа,48,2025-06-26
Математический анализ 326,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,48,2025-07-03
Математический анализ 326,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы математического анализа,100,2025-07-10
Биология 509,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы биологии,100,2025-07-10
Биология 509,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы биологии,100,2025-07-17
Биология 509,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы биологии,28,2025-06-19
Химия 359,лабораторная,Лабораторная по Общая,Подробное описание лабораторная работы по курсу Общая химия,100,2025-06-12
Химия 359,лабораторная,Лабораторная по Общая,Подробное описание лабораторная работы по курсу Общая химия,100,2025-06-26
Химия 359,лабораторная,Лабораторная по Общая,Подробное описание лабораторная работы по курсу Общая химия,100,2025-07-17
Математический анализ 515,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,37,2025-06-26
Математический анализ 515,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы математического анализа,100,2025-06-05
Математический анализ 515,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы математического анализа,23,2025-05-29
Биология 218,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы биологии,21,2025-07-17
Биология 218,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы биологии,24,2025-07-10
Биология 218,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы биологии,40,2025-07-17
Экономика 462,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,43,2025-06-05
Экономика 462,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,21,2025-06-26
Экономика 462,практическая,Практическая по Принципы,Подробное описание практическая работы по курсу Принципы экономики,100,2025-07-17
Литература 665,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая литература,50,2025-06-05
Литература 665,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-06-26
Литература 665,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая литература,100,2025-06-05
Химия 890,доклад,Доклад по Общая,Подробное описание доклад работы по курсу Общая химия,29,2025-07-10
Химия 890,практическая,Практическая по Общая,Подробное описание практическая работы по курсу Общая химия,100,2025-06-26
Химия 890,реферат,Реферат по Общая,Подробное описание реферат работы по курсу Общая химия,30,2025-07-03
Химия 146,доклад,Доклад по Общая,Подробное описание доклад работы по курсу Общая химия,44,2025-07-17
Химия 146,доклад,Доклад по Общая,Подробное описание доклад работы по курсу Общая химия,49,2025-07-10
Химия 146,лабораторная,Лабораторная по Общая,Подробное описание лабораторная работы по курсу Общая химия,100,2025-06-05
Программирование 127,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,43,2025-07-17
Программирование 127,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-06-19
Программирование 127,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,37,2025-06-19
Литература 702,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-07-10
Литература 702,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая литература,38,2025-07-10
Литература 702,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая литература,100,2025-07-17
Право 247,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы юриспруденции,28,2025-07-17
Право 247,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы юриспруденции,100,2025-06-05
Право 247,другое,Другое по Основы,Подробное описание другое работы по курсу Основы юриспруденции,50,2025-06-05
Экономика 858,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,25,2025-05-29
Экономика 858,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,21,2025-06-19
Экономика 858,реферат,Реферат по Принципы,Подробное описание реферат работы по курсу Принципы экономики,24,2025-07-10
Право 751,другое,Другое по Основы,Подробное описание другое работы по курсу Основы юриспруденции,34,2025-07-17
Право 751,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы юриспруденции,43,2025-07-17
Право 751,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы юриспруденции,32,2025-06-19
Право 204,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы юриспруденции,100,2025-05-29
Право 204,другое,Другое по Основы,Подробное описание другое работы по курсу Основы юриспруденции,34,2025-06-12
Право 204,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы юриспруденции,44,2025-07-17
Программирование 989,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,28,2025-07-17
Программирование 989,другое,Другое по Базовые,Подробное описание другое работы по курсу Базовые концепции программирования,38,2025-06-19
Программирование 989,практическая,Практическая по Базовые,Подробное описание практическая работы по курсу Базовые концепции программирования,100,2025-06-05
Психология 110,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,26,2025-07-10
Психология 110,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-07-17
Психология 110,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,42,2025-05-29
История 708,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая история,100,2025-06-05
История 708,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая история,41,2025-06-19
История 708,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая история,100,2025-07-10
Литература 299,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-07-17
Литература 299,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-07-03
Литература 299,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая литература,21,2025-06-19
Литература 594,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая литература,100,2025-06-12
Литература 594,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая литература,45,2025-06-05
Литература 594,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-07-10
Медицина 416,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы медицинских знаний,100,2025-06-05
Медицина 416,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,49,2025-07-03
Медицина 416,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы медицинских знаний,100,2025-05-29
История 222,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая история,100,2025-06-19
История 222,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая история,49,2025-05-29
История 222,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая история,29,2025-07-10
Программирование 521,практическая,Практическая по Базовые,Подробное описание практическая работы по курсу Базовые концепции программирования,100,2025-06-05
Программирование 521,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,45,2025-07-10
Программирование 521,практическая,Практическая по Базовые,Подробное описание практическая работы по курсу Базовые концепции программирования,100,2025-07-10
Программирование 142,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-07-17
Программирование 142,другое,Другое по Базовые,Подробное описание другое работы по курсу Базовые концепции программирования,28,2025-07-03
Программирование 142,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,29,2025-07-17
Психология 936,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,34,2025-07-03
Психология 936,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-06-19
Психология 936,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,32,2025-06-05
Химия 774,другое,Другое по Общая,Подробное описание другое работы по курсу Общая химия,38,2025-06-26
Химия 774,лабораторная,Лабораторная по Общая,Подробное описание лабораторная работы по курсу Общая химия,100,2025-07-17
Химия 774,доклад,Доклад по Общая,Подробное описание доклад работы по курсу Общая химия,47,2025-06-26
Психология 734,практическая,Практическая по Введение,Подробное описание практическая работы по курсу Введение в психологию,100,2025-07-17
Психология 734,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-07-03
Психология 734,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,23,2025-06-19
Психология 907,практическая,Практическая по Введение,Подробное описание практическая работы по курсу Введение в психологию,100,2025-06-26
Психология 907,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-06-19
Психология 907,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,48,2025-07-03
Психология 389,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-05-29
Психология 389,доклад,Доклад по Введение,Подробное описание доклад работы по курсу Введение в психологию,46,2025-06-12
Психология 389,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-05-29
Математический анализ 842,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,39,2025-06-26
Математический анализ 842,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы математического анализа,100,2025-07-03
Математический анализ 842,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы математического анализа,100,2025-07-03
Литература 694,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая литература,29,2025-06-26
Литература 694,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-06-05
Литература 694,другое,Другое по Мировая,Подробное описание другое работы по курсу Мировая литература,39,2025-06-12
Медицина 708,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы медицинских знаний,100,2025-05-29
Медицина 708,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы медицинских знаний,22,2025-07-10
Медицина 708,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы медицинских знаний,100,2025-06-05
Математический анализ 897,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,22,2025-07-10
Математический анализ 897,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,39,2025-07-03
Математический анализ 897,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,30,2025-07-03
Программирование 655,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,49,2025-06-12
Программирование 655,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,20,2025-07-17
Программирование 655,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-07-10
Химия 647,другое,Другое по Общая,Подробное описание другое работы по курсу Общая химия,50,2025-07-10
Химия 647,практическая,Практическая по Общая,Подробное описание практическая работы по курсу Общая химия,100,2025-06-19
Химия 647,практическая,Практическая по Общая,Подробное описание практическая работы по курсу Общая химия,100,2025-07-17
Биология 779,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы биологии,26,2025-06-26
Биология 779,другое,Другое по Основы,Подробное описание другое работы по курсу Основы биологии,26,2025-05-29
Биология 779,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы биологии,27,2025-07-03
Программирование 470,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,45,2025-07-17
Программирование 470,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,47,2025-07-17
Программирование 470,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-07-03
Программирование 436,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,36,2025-07-03
Программирование 436,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-07-17
Программирование 436,другое,Другое по Базовые,Подробное описание другое работы по курсу Базовые концепции программирования,27,2025-07-17
Экономика 636,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,37,2025-07-03
Экономика 636,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,33,2025-05-29
Экономика 636,практическая,Практическая по Принципы,Подробное описание практическая работы по курсу Принципы экономики,100,2025-05-29
Право 553,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы юриспруденции,100,2025-06-26
Право 553,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы юриспруденции,44,2025-05-29
Право 553,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы юриспруденции,22,2025-06-05
Литература 254,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-07-03
